id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn00880_c0	=	Cytosol_0	(132114_gene)	myo-Inositol:oxygen oxidoreductase_c0		-111.68		(1)  cpd00007[c0] + (1)  cpd00121[c0] <=> (1)  cpd00001[c0] + (1)  cpd00067[c0] + (1)  cpd00164[c0]	(1)  O2[c0] + (1)  L-Inositol[c0] <=> (1)  H2O[c0] + (1)  H+[c0] + (1)  Glucuronate[c0]	rxn00880		R01184	Ascorbate and aldarate metabolism|Inositol phosphate metabolism	
R-tr-sphe_e0	=	Extracellular_0	149364_gene	CustomReaction_e0				(1)  cpd00267[e0] <=> (1)  cpd00267[c0]	(1)  Sphingoid[e0] <=> (1)  Sphingoid[c0]	rxn00000				
rxn00781_c0	=	Cytosol_0	(130289_gene or 130289_gene)	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0		-9.89		(1)  cpd00003[c0] + (1)  cpd00009[c0] + (1)  cpd00102[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00203[c0]	(1)  NAD[c0] + (1)  Phosphate[c0] + (1)  Glyceraldehyde3-phosphate[c0] <=> (1)  NADH[c0] + (1)  H+[c0] + (1)  1,3-Bisphospho-D-glycerate[c0]	rxn00781	GAPD	R01061	Glycolysis / Gluconeogenesis|Carbon fixation in photosynthetic organisms	ANAEROFRUCAT-PWY|ANAGLYCOLYSIS-PWY|Biosynthesis|C1-COMPOUNDS|CARBO-BIOSYNTHESIS|CARBOXYLATES-DEG|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Degradation|Energy-Metabolism|Fermentation|Formaldehyde-Assimilation|GLUCONEO-PWY|GLYCOLYSIS|GLYCOLYSIS-E-D|GLYCOLYSIS-TCA-GLYOX-BYPASS|GLYCOLYSIS-VARIANTS|Gluconeogenesis|P122-PWY|P124-PWY|P185-PWY|P441-PWY|P461-PWY|SECONDARY-METABOLITE-DEGRADATION|SUCROSE-DEG|SUCSYN-PWY|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|TCA-VARIANTS|Xylose-Degradation
rxn01466_c0	=	Cytosol_0	(165455_gene)	Geranyl-diphosphate:isopentenyl-diphosphate geranyltrans-transferase_c0		-22.53		(1)  cpd00113[c0] + (1)  cpd00283[c0] <=> (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00350[c0]	(1)  Isopentenyldiphosphate[c0] + (1)  Geranyldiphosphate[c0] <=> (1)  PPi[c0] + (1)  H+[c0] + (1)  Farnesyldiphosphate[c0]	rxn01466	GRTT	R02003	Terpenoid backbone biosynthesis	All-Trans-Farnesyl-PP-Biosynthesis|Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|Energy-Metabolism|GGPP-Biosynthesis|Lipid-Biosynthesis|MONOTERPENOID-SYN|POLYISOPRENSYN-PWY|PWY2OL-4|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
R-r0640_c0	=	Cytosol_0	116137_gene	CustomReaction_c0				(1)  M-pmme-c_c0[c0] + (1)  cpd11423[c0] <=> (1)  M-lpmme-c_c0[c0] + (1)  cpd11677[c0]	(1)  phosphatidyl-N-methylethanolamines[c0] + (1)  1,2-Diacyl-sn-glycerol[c0] <=> (1)  lysophosphatidyl-N-methylethanolamine[c0] + (1)  Triglyceride[c0]	rxn00000				
R-r1043_m0	=	m_0	47049_gene	CustomReaction_m0				(1)  M-c183coa-m_m0[m0] + (1)  cpd00266[m0] <=> (1)  M-c183car-m_m0[m0] + (1)  cpd00010[m0]	(1)  octadecatrienoyl-CoA[m0] + (1)  Carnitine[m0] <=> (1)  octadecatrienoyl-carnitine[m0] + (1)  CoA[m0]	rxn00000				
rxn01603_c0	=	Cytosol_0	(117395_gene)	7,8-dihydropteroate:L-glutamate ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00683[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00330[c0]	(1)  ATP[c0] + (1)  L-Glutamate[c0] + (1)  Dihydropteroate[c0] <=> (1)  ADP[c0] + (1)  Phosphate[c0] + (1)  H+[c0] + (1)  Dihydrofolate[c0]	rxn01603	DHFS	R02237	Folate biosynthesis	1CMET2-PWY|ALL-CHORISMATE-PWY|Biosynthesis|Cofactor-Biosynthesis|FOLSYN-PWY|Folate-Biosynthesis|Vitamin-Biosynthesis
R-r0630_m0	=	m_0	(121788_gene or 118208_gene)	CustomReaction_m0				(1)  cpd00001[m0] + (1)  cpd00002[m0] + (1)  cpd11422[m0] <=> (1)  cpd00008[m0] + (1)  cpd00009[m0] + (1)  cpd00067[m0] + (1)  cpd11422[c0]	(1)  H2O[m0] + (1)  ATP[m0] + (1)  1,2-diacyl-sn-glycerol 3-phosphate[m0] <=> (1)  ADP[m0] + (1)  Phosphate[m0] + (1)  H+[m0] + (1)  1,2-diacyl-sn-glycerol 3-phosphate[c0]	rxn00000				
R-h-atpase_c0	=	Cytosol_0	74058_gene	CustomReaction_e0				(1)  cpd00001[c0] + (1)  cpd00002[c0] + (3)  cpd00067[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (4)  cpd00067[e0]	(1)  H2O[c0] + (1)  ATP[c0] + (3)  H+[c0] <=> (1)  ADP[c0] + (1)  Phosphate[c0] + (4)  H+[e0]	rxn00000				
rxn05231_c0	=	Cytosol_0	(64497_gene)	2'-Deoxyadenosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase_c0				(1)  cpd00008[c0] + (1)  cpd11421[c0] <=> (1)  cpd00001[c0] + (1)  cpd00177[c0] + (1)  cpd11420[c0]	(1)  ADP[c0] + (1)  trdrd[c0] <=> (1)  H2O[c0] + (1)  dADP[c0] + (1)  trdox[c0]	rxn05231	RIBRB12	R02017	Purine metabolism	
rxn01332_c0	=	Cytosol_0	(151451_gene)	Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)_c0		-2.65		(1)  cpd00001[c0] + (1)  cpd00061[c0] + (1)  cpd00236[c0] <=> (1)  cpd00009[c0] + (1)  cpd02857[c0]	(1)  H2O[c0] + (1)  Phosphoenolpyruvate[c0] + (1)  D-Erythrose4-phosphate[c0] <=> (1)  Phosphate[c0] + (1)  DAHP[c0]	rxn01332	ARO3	R01826	Phenylalanine, tyrosine and tryptophan biosynthesis	3-Dehydroquinate-Biosynthesis|ALL-CHORISMATE-PWY|ARO-PWY|AROMATIC-COMPOUNDS-BIOSYN|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|Chorismate-Biosynthesis
R-r0648_c0	=	Cytosol_0	116137_gene	CustomReaction_c0				(2)  cpd00067[c0] + (1)  cpd11423[c0] + (1)  cpd11624[c0] <=> (1)  M-lpc-c_c0[c0] + (1)  cpd11677[c0]	(2)  H+[c0] + (1)  1,2-Diacyl-sn-glycerol[c0] + (1)  Lecithin[c0] <=> (1)  1-Lysophosphatidylcholine[c0] + (1)  Triglyceride[c0]	rxn00000				
rxn33164_m0	=	m_0	(50911_gene)	CustomReaction_m0		-10.53		(2)  cpd00020[m0] + (1)  cpd00067[m0] <=> (1)  cpd00011[m0] + (1)  cpd00668[m0]	(2)  Pyruvate[m0] + (1)  H+[m0] <=> (1)  CO2[m0] + (1)  ALCTT[m0]	rxn33164				
rxn01300_c0	=	Cytosol_0	(78630_gene)	ATP:L-homoserine O-phosphotransferase_c0		-14.03		(1)  cpd00002[c0] + (1)  cpd00227[c0] <=> (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00809[c0]	(1)  ATP[c0] + (1)  L-Homoserine[c0] <=> (1)  ADP[c0] + (1)  H+[c0] + (1)  O-Phospho-L-homoserine[c0]	rxn01300	HSK	R01771	Glycine, serine and threonine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HOMOSER-THRESYN-PWY|IND-AMINO-ACID-SYN|ISOLEUCINE-SYN|METHIONINE-SYN|P4-PWY|PWY0-781|THREONINE-BIOSYNTHESIS|THRESYN-PWY
R-tr-nh3_e0	=	Extracellular_0	117919_gene	CustomReaction_e0				(1)  cpd00013[e0] <=> (1)  cpd00013[c0]	(1)  NH3[e0] <=> (1)  NH3[c0]	rxn00000				
R-r0638_c0	=	Cytosol_0	116137_gene	CustomReaction_c0				(1)  cpd11423[c0] + (1)  cpd11455[c0] <=> (1)  M-lps-c_c0[c0] + (1)  cpd11677[c0]	(1)  1,2-Diacyl-sn-glycerol[c0] + (1)  ps_BS[c0] <=> (1)  lysophosphatidylserine[c0] + (1)  Triglyceride[c0]	rxn00000				
rxn02356_c0	=	Cytosol_0	(109160_gene)	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase_c0		-10.52		(1)  cpd00004[c0] + (2)  cpd00067[c0] + (1)  cpd02625[c0] <=> (1)  cpd00003[c0] + (1)  cpd00851[c0]	(1)  NADH[c0] + (2)  H+[c0] + (1)  3-Hydroxy-L-1-pyrroline-5-carboxylate[c0] <=> (1)  NAD[c0] + (1)  trans-4-Hydroxy-L-proline[c0]	rxn02356	HPROa	R03291	Arginine and proline metabolism	
R-r0641_c0	=	Cytosol_0	116137_gene	CustomReaction_c0				(1)  cpd11423[c0] + (1)  cpd11652[c0] <=> (1)  M-lpg-c_c0[c0] + (1)  cpd11677[c0]	(1)  1,2-Diacyl-sn-glycerol[c0] + (1)  Phosphatidylglycerol[c0] <=> (1)  L-lysophosphatidylethanolamine[c0] + (1)  Triglyceride[c0]	rxn00000				
rxn02596_e0	=	Extracellular_0	113351_gene	R03634_e0		-3.11		(1)  cpd00001[e0] + (1)  cpd01133[e0] <=> (1)  cpd00108[e0] + (1)  cpd00382[e0]	(1)  H2O[e0] + (1)  Stachyose[e0] <=> (1)  Galactose[e0] + (1)  Melitose[e0]	rxn02596	GALS4	R03634	Galactose metabolism	
rxn26898_c0	=	Cytosol_0	(85158_gene)	CustomReaction_c0		-10.3		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd08302[c0] <=> (1)  cpd00006[c0] + (1)  cpd03038[c0]	(1)  NADPH[c0] + (1)  H+[c0] + (1)  4,4-Dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c0] <=> (1)  NADP[c0] + (1)  14-Demethyllanosterol[c0]	rxn26898				Biosynthesis|ERGOSTEROL-SYN-PWY|Lipid-Biosynthesis|PWY66-341|PWY66-4|PWY66-5|Sterol-Biosynthesis
R-r1078_c0	=	Cytosol_0	41085_gene	CustomReaction_c0				(1)  M-dhomst-c_c0[c0] + (1)  cpd00005[c0] + (1)  cpd00007[c0] + (3)  cpd00067[c0] <=> (1)  cpd00001[c0] + (1)  cpd00006[c0] + (1)  cpd16551_c0[c0]	(1)  dihydro-O-methylsterigmatocystin[c0] + (1)  NADPH[c0] + (1)  O2[c0] + (3)  H+[c0] <=> (1)  H2O[c0] + (1)  NADP[c0] + (1)  Aflatoxin G2[c0]	rxn00000				
rxn01199_c0	=	Cytosol_0	(118524_gene)	ATP:D-xylulose 5-phosphotransferase_c0		-14.08		(1)  cpd00002[c0] + (1)  cpd00259[c0] <=> (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00198[c0]	(1)  ATP[c0] + (1)  D-Lyxulose[c0] <=> (1)  ADP[c0] + (1)  H+[c0] + (1)  D-Xylulose5-phosphate[c0]	rxn01199	XKS1	R01639	Pentose and glucuronate interconversions	Carbohydrates-Degradation|DARABITOLUTIL-PWY|Degradation|LARABITOLUTIL-PWY|SECONDARY-METABOLITE-DEGRADATION|SUGAR-ALCOHOLS-DEG|Sugar-Derivatives|Sugars-And-Polysaccharides|XYLCAT-PWY|Xylose-Degradation
rxn02358_c0	=	Cytosol_0	(109160_gene)	trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase_c0		-10.52		(1)  cpd00005[c0] + (2)  cpd00067[c0] + (1)  cpd02625[c0] <=> (1)  cpd00006[c0] + (1)  cpd00851[c0]	(1)  NADPH[c0] + (2)  H+[c0] + (1)  3-Hydroxy-L-1-pyrroline-5-carboxylate[c0] <=> (1)  NADP[c0] + (1)  trans-4-Hydroxy-L-proline[c0]	rxn02358	HPROb	R03293	Arginine and proline metabolism	
rxn03063_c0	=	Cytosol_0	(122589_gene)	S-Adenosyl-L-methionine:zymosterol C-methyltransferase_c0		-19.86		(1)  cpd00017[c0] + (1)  cpd03221[c0] <=> (1)  cpd00019[c0] + (1)  cpd00067[c0] + (1)  cpd02755[c0]	(1)  S-Adenosyl-L-methionine[c0] + (1)  Zymosterol[c0] <=> (1)  S-Adenosyl-homocysteine[c0] + (1)  H+[c0] + (1)  Fecosterol[c0]	rxn03063	ERG6	R04427	Steroid biosynthesis	Biosynthesis|ERGOSTEROL-SYN-PWY|Lipid-Biosynthesis|Sterol-Biosynthesis
rxn07325_c0	=	Cytosol_0	(116888_gene)	R07494_c0		0.34		(1)  cpd00006[c0] + (1)  cpd14544[c0] <=> (1)  cpd00005[c0] + (1)  cpd00011[c0] + (1)  cpd14552[c0]	(1)  NADP[c0] + (1)  4alpha-Methylzymosterol-4-carboxylate[c0] <=> (1)  NADPH[c0] + (1)  CO2[c0] + (1)  3-Keto-4-methylzymosterol[c0]	rxn07325		R07494	Steroid biosynthesis	Biosynthesis|ERGOSTEROL-SYN-PWY|Lipid-Biosynthesis|PWY66-341|PWY66-4|PWY66-5|Sterol-Biosynthesis
rxn01213_c0	=	Cytosol_0	(165455_gene)	GPPSYN-RXN_c0		195		(1)  cpd00113[c0] + (1)  cpd00202[c0] <=> (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00283[c0]	(1)  Isopentenyldiphosphate[c0] + (1)  DMAPP[c0] <=> (1)  PPi[c0] + (1)  H+[c0] + (1)  Geranyldiphosphate[c0]	rxn01213	DMATT	R01658	Terpenoid backbone biosynthesis	All-Trans-Farnesyl-PP-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|Energy-Metabolism|GGPP-Biosynthesis|Lipid-Biosynthesis|POLYISOPRENSYN-PWY|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
rxn03240_m0	=	m_0	(114037_gene)	CustomReaction_m0		2.16		(1)  cpd03113[m0] <=> (1)  cpd00001[m0] + (1)  cpd03126[m0]	(1)  (S) -3-Hydroxyhexadecanoyl-CoA[m0] <=> (1)  H2O[m0] + (1)  (2E) -Hexadecenoyl-CoA[m0]	rxn03240	ECOAH7	R04738	Fatty acid elongation|Fatty acid degradation	
rxn00711_c0	=	Cytosol_0	(114560_gene)	UMP:diphosphate phospho-alpha-D-ribosyltransferase_c0		12.54		(1)  cpd00092[c0] + (1)  cpd00103[c0] <=> (1)  cpd00012[c0] + (1)  cpd00067[c0] + (1)  cpd00091[c0]	(1)  Uracil[c0] + (1)  PRPP[c0] <=> (1)  PPi[c0] + (1)  H+[c0] + (1)  UMP[c0]	rxn00711	FUR1	R00966	Pyrimidine metabolism	Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|PUR-NUC-SYN|PWY0-163|PYR-NUC-SYN|Purine-Nucleotides-Salvage|Pyrimidine-Nucleotide-Salvage
rxn03175_c0	=	Cytosol_0	(41936_gene)	N-(5'-Phospho-D-ribosylformimino)-5-amino-1- (5''-phospho-D-ribosyl)-4-imidazolecarboxamide ketol-isomerase_c0		10.15		(1)  cpd00067[c0] + (1)  cpd02979[c0] <=> (1)  cpd02991[c0]	(1)  H+[c0] + (1)  phosphoribosylformiminoaicar-phosphate[c0] <=> (1)  phosphoribulosylformimino-AICAR-phosphate[c0]	rxn03175	PRMICI	R04640	Histidine metabolism	Amino-Acid-Biosynthesis|Biosynthesis|HISTIDINE-SYN|HISTSYN-PWY|IND-AMINO-ACID-SYN|PRPP-PWY
R-tr-met_e0	=	Extracellular_0	117645_gene	CustomReaction_e0				(1)  cpd00060[e0] <=> (1)  cpd00060[c0]	(1)  L-Methionine[e0] <=> (1)  L-Methionine[c0]	rxn00000				
rxn00432_c0	=	Cytosol_0	130292_gene	Methanol:oxygen oxidereductase_c0		-25.27		(1)  cpd00007[c0] + (1)  cpd00116[c0] <=> (1)  cpd00025[c0] + (1)  cpd00055[c0]	(1)  O2[c0] + (1)  Methanol[c0] <=> (1)  H2O2[c0] + (1)  Formaldehyde[c0]	rxn00432		R00608	Methane metabolism	C1-COMPOUNDS|Degradation|Methanol-Oxidation
R-nadh-q-mito_m0	=	m_0	(116083_gene or 115383_gene or 113563_gene or 113189_gene)	CustomReaction_m0				(1)  cpd00004[m0] + (5)  cpd00067[m0] + (1)  cpd11669[m0] <=> (1)  cpd00003[m0] + (4)  cpd00067[c0] + (1)  cpd11665[m0]	(1)  NADH[m0] + (5)  H+[m0] + (1)  Q[m0] <=> (1)  NAD[m0] + (4)  H+[c0] + (1)  QH2[m0]	rxn00000				
rxn00213_c0	=	Cytosol_0	(44745_gene)	UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0		1.07		(1)  cpd00062[c0] + (1)  cpd00089[c0] <=> (1)  cpd00012[c0] + (1)  cpd00026[c0]	(1)  UTP[c0] + (1)  Glucose-1-phosphate[c0] <=> (1)  PPi[c0] + (1)  UDP-glucose[c0]	rxn00213	GALU	R00289	Pentose and glucuronate interconversions|Galactose metabolism|Starch and sucrose metabolism|Amino sugar and nucleotide sugar metabolism	Activation-Inactivation-Interconversion|Antibiotic-Biosynthesis|Ascorbate-Biosynthesis|Biosynthesis|CARBO-BIOSYNTHESIS|COLANSYN-PWY|Carbohydrates-Biosynthesis|Carbohydrates-Degradation|Cell-Structure-Biosynthesis|Cofactor-Biosynthesis|Degradation|GALACTOSE-DEGRADATION|GLYCOGEN-BIOSYN|Interconversion|PWY3DJ-35471|Polysaccharides-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|SUCROSE-DEG|SUCSYN-PWY|SUGAR-NUCLEOTIDES|Sugars-And-Polysaccharides|Vitamin-Biosynthesis
rxn00646_c0	=	Cytosol_0	(115767_gene or 115767_gene)	L-glutamate:L-cysteine gamma-ligase (ADP-forming)_c0		-6.35		(1)  cpd00002[c0] + (1)  cpd00023[c0] + (1)  cpd00084[c0] <=> (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00067[c0] + (1)  cpd00506[c0]	(1)  ATP[c0] + (1)  L-Glutamate[c0] + (1)  L-Cysteine[c0] <=> (1)  ADP[c0] + (1)  Phosphate[c0] + (1)  H+[c0] + (1)  gamma-Glutamylcysteine[c0]	rxn00646	GLUCYS	R00894	Glutathione metabolism	Biosynthesis|Cofactor-Biosynthesis|GLUTATHIONESYN-PWY|Other-biosynthesis|Reductants
rxn19979_m0	=	m_0	(113748_gene)	CustomReaction_m0		-7.06		(1)  cpd00010[m0] + (1)  cpd03114[m0] <=> (1)  cpd00022[m0] + (1)  cpd01695[m0]	(1)  CoA[m0] + (1)  3-Oxopalmitoyl-CoA[m0] <=> (1)  Acetyl-CoA[m0] + (1)  Myristoyl-CoA[m0]	rxn19979	ACACT7p			
rxn01512_c0	=	Cytosol_0	(119859_gene)	ATP:dTDP phosphotransferase_c0		0		(1)  cpd00002[c0] + (1)  cpd00297[c0] <=> (1)  cpd00008[c0] + (1)  cpd00357[c0]	(1)  ATP[c0] + (1)  dTDP[c0] <=> (1)  ADP[c0] + (1)  TTP[c0]	rxn01512	NDPK4	R02093	Pyrimidine metabolism	Biosynthesis|Nucleotide-Biosynthesis|PWY0-166|PYR-NUC-SYN|Pyrimid-Deoxyribonucleot-De-Novo-Biosyn
rxn11552_c0	=	Cytosol_0	(113738_gene)	galactitol:NADP+ 1-oxidoreductase_c0		-2.9		(1)  cpd00005[c0] + (1)  cpd00067[c0] + (1)  cpd00108[c0] <=> (1)  cpd00006[c0] + (1)  cpd01171[c0]	(1)  NADPH[c0] + (1)  H+[c0] + (1)  Galactose[c0] <=> (1)  NADP[c0] + (1)  Dulcose[c0]	rxn11552		R01095	Galactose metabolism	
rxn00830_c0	=	Cytosol_0	(147964_gene)	Isopentenyl-diphosphate delta3-delta2-isomerase_c0		0.66		(1)  cpd00202[c0] <=> (1)  cpd00113[c0]	(1)  DMAPP[c0] <=> (1)  Isopentenyldiphosphate[c0]	rxn00830	IDI1	R01123	Terpenoid backbone biosynthesis	All-Trans-Farnesyl-PP-Biosynthesis|Biosynthesis|Cell-Structure-Biosynthesis|Cell-Wall-Biosynthesis|Cofactor-Biosynthesis|DITERPENOID-SYN|ERGOSTEROL-SYN-PWY|Energy-Metabolism|GGPP-Biosynthesis|ISOPRENOIDS|Lipid-Biosynthesis|NONMEVIPP-PWY|Other-biosynthesis|POLYISOPRENSYN-PWY|PWY66-5|Polyprenyl-Biosynthesis|SECONDARY-METABOLITE-BIOSYNTHESIS|Sterol-Biosynthesis|Terpenoid-Biosynthesis
rxn30674_m0	=	m_0	(113387_gene)	CustomReaction_m0		-0.61		(1)  cpd00001[m0] + (1)  cpd00106[m0] <=> (1)  cpd00130[m0]	(1)  H2O[m0] + (1)  Fumarate[m0] <=> (1)  L-Malate[m0]	rxn30674				
rxn31091_m0	=	m_0	(114037_gene)	CustomReaction_m0		-58.29		(1)  cpd00001[m0] + (1)  cpd02125[m0] <=> (1)  cpd02691[m0]	(1)  H2O[m0] + (1)  Tiglyl-CoA[m0] <=> (1)  2-methyl-3-hydroxy-butyryl-CoA[m0]	rxn31091				
rxn01409_c0	=	Cytosol_0	(47049_gene or 123299_gene)	Palmitoyl-CoA:L-carnitine O-palmitoyltransferase_c0		-3.61		(1)  cpd00134[c0] + (1)  cpd00266[c0] <=> (1)  cpd00010[c0] + (1)  cpd01915[c0]	(1)  Palmitoyl-CoA[c0] + (1)  Carnitine[c0] <=> (1)  CoA[c0] + (1)  L-Palmitoylcarnitine[c0]	rxn01409		R01923	Fatty acid degradation	
rxn05233_c0	=	Cytosol_0	(64497_gene)	2'-Deoxyguanosine 5'-diphosphate:oxidized-thioredoxin 2'-oxidoreductase_c0				(1)  cpd00031[c0] + (1)  cpd11421[c0] <=> (1)  cpd00001[c0] + (1)  cpd00295[c0] + (1)  cpd11420[c0]	(1)  GDP[c0] + (1)  trdrd[c0] <=> (1)  H2O[c0] + (1)  dGDP[c0] + (1)  trdox[c0]	rxn05233	RNDR2	R02019	Purine metabolism	
rxn08449_c0	=	Cytosol_0	(85519_gene)	CustomReaction_c0		-21.55		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd01741[c0] <=> (1)  cpd00012[c0] + (1)  cpd00018[c0] + (1)  cpd00067[c0] + (1)  cpd01260[c0]	(1)  ATP[c0] + (1)  CoA[c0] + (1)  ddca[c0] <=> (1)  PPi[c0] + (1)  AMP[c0] + (1)  H+[c0] + (1)  Lauroyl-CoA[c0]	rxn08449	FACOAL120t2pp			
rxn02228_c0	=	Cytosol_0	(46347_gene or 105987_gene)	3-Mercaptolactate:NAD+ oxidoreductase_c0		6.22		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00706[c0] <=> (1)  cpd00003[c0] + (1)  cpd03455[c0]	(1)  NADH[c0] + (1)  H+[c0] + (1)  Mercaptopyruvate[c0] <=> (1)  NAD[c0] + (1)  3-Mercaptolactate[c0]	rxn02228		R03104	Cysteine and methionine metabolism	
R-r0628_m0	=	m_0	((121788_gene or 118208_gene))	CustomReaction_m0				(1)  cpd00001[m0] + (1)  cpd00002[m0] + (1)  cpd11455[m0] <=> (1)  cpd00008[m0] + (1)  cpd00009[m0] + (1)  cpd00067[c0] + (1)  cpd11455[c0]	(1)  H2O[m0] + (1)  ATP[m0] + (1)  ps_BS[m0] <=> (1)  ADP[m0] + (1)  Phosphate[m0] + (1)  H+[c0] + (1)  ps_BS[c0]	rxn00000				
rxn00191_m0	=	m_0	(155031_gene)	CustomReaction_m0		0		(1)  cpd00024[m0] + (1)  cpd00035[m0] <=> (1)  cpd00020[m0] + (1)  cpd00023[m0]	(1)  2-Oxoglutarate[m0] + (1)  L-Alanine[m0] <=> (1)  Pyruvate[m0] + (1)  L-Glutamate[m0]	rxn00191	ALATA_L	R00258	Alanine, aspartate and glutamate metabolism|Carbon fixation in photosynthetic organisms	ALACAT2-PWY|ALANINE-DEG|ALANINE-DEG3-PWY|ALANINE-SYN|ALANINE-SYN2-PWY|Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|Energy-Metabolism|Fermentation|IND-AMINO-ACID-SYN|PROPFERM-PWY|PWY0-1061|Pyruvate-Degradation
rxn00610_c0	=	Cytosol_0	(47797_gene)	sn-glycerol-3-phosphate phosphohydrolase_c0		7.21		(1)  cpd00001[c0] + (1)  cpd00080[c0] <=> (1)  cpd00009[c0] + (1)  cpd00100[c0]	(1)  H2O[c0] + (1)  Glycerol-3-phosphate[c0] <=> (1)  Phosphate[c0] + (1)  Glycerol[c0]	rxn00610	G3PT	R00841	Glycerolipid metabolism	
rxn03003_c0	=	Cytosol_0	(126069_gene)	2-Amino-3-carboxymuconate semialdehyde carboxy-lyase_c0	4.1.1.45	0.26		(2)  cpd00067[c0] + (1)  cpd02692[c0] <=> (1)  cpd00011[c0] + (1)  cpd02385[c0]	(2)  H+[c0] + (1)  2-Amino-3-carboxymuconate semialdehyde[c0] <=> (1)  CO2[c0] + (1)  2-Aminomuconate semialdehyde[c0]	rxn03003	PCLAD	R04323	Tryptophan metabolism	2-Nirobenzoate-Degradation|AROMATIC-COMPOUNDS-DEGRADATION|Amino-Acid-Degradation|CARBOXYLATES-DEG|Degradation|Nitroaromatic-Degradation|Nitrobenzoate-Degradation|TRYPTOPHAN-DEG|TRYPTOPHAN-DEGRADATION-1
R-r1029_c0	=	Cytosol_0	(47049_gene)	CustomReaction_c0				(1)  cpd00266[c0] + (1)  cpd15238[c0] <=> (1)  M-c161car-c_c0[c0] + (1)  cpd00010[c0]	(1)  Carnitine[c0] + (1)  Hexadecenoyl-CoA[c0] <=> (1)  hexadecenoyl-carnitine[c0] + (1)  CoA[c0]	rxn00000				
rxn00727_c0	=	Cytosol_0	(83580_gene)	Chorismate pyruvate-lyase (amino-accepting)_c0		-44.16		(1)  cpd00053[c0] + (1)  cpd00216[c0] <=> (1)  cpd00020[c0] + (1)  cpd00023[c0] + (1)  cpd00067[c0] + (1)  cpd00093[c0]	(1)  L-Glutamine[c0] + (1)  Chorismate[c0] <=> (1)  Pyruvate[c0] + (1)  L-Glutamate[c0] + (1)  H+[c0] + (1)  Anthranilate[c0]	rxn00727	ANS	R00986	Phenylalanine, tyrosine and tryptophan biosynthesis	ALKALOIDS-SYN|ALL-CHORISMATE-PWY|Amino-Acid-Biosynthesis|Biosynthesis|COMPLETE-ARO-PWY|IND-AMINO-ACID-SYN|N-CONTAINING-SECONDARY-CMPD-SYN|SECONDARY-METABOLITE-BIOSYNTHESIS|TRPSYN-PWY|TRYPTOPHAN-BIOSYNTHESIS
R-tr-satn_e0	=	Extracellular_0	92968_gene	CustomReaction_e0				(1)  cpd01092[e0] <=> (1)  cpd01092[c0]	(1)  Allantoin[e0] <=> (1)  Allantoin[c0]	rxn00000				
